version	name
20251101000031	auto_create_company_from_contact
20251103125342	add_slack_task_notifications
20251105000000	create_proposal_templates
20251106000001	add_condensed_summary_fields
20251119000000	create_proposal_jobs
20251120000000	update_design_system_template
20251122000001	create_relationship_health_scores
20251122000002	create_ghost_detection_signals
20251122000003	create_intervention_templates
20251122000004	create_interventions
20251122000005	create_communication_events
20251122000006	create_relationship_health_history
20251122000007	seed_intervention_templates
20251122122129	create_user_sync_status
20251122123249	add_timezone_support
20251122130000	fix_calendar_events_unique_constraint
20251122140000	make_org_id_nullable
20251122140100	fix_calendar_contact_link_trigger
20251122150000	create_sales_templates
20251122160000	create_user_writing_styles
20251123000001	enhance_communication_events
20251123000002	add_last_login_tracking
20251123000003	health_score_performance_indexes
20251124000001	add_last_interaction_date_column
20251124000002	backfill_contact_last_interaction_date
20251125000001	create_csv_mapping_templates
20251125000002	create_savvycal_link_mappings
20251125000003	backfill_lead_sources_from_links
20251125000004	add_deal_stages_to_lead_source_view
20251126000001	extend_writing_styles_for_training
20251126000002	add_proposal_sharing
20251127000001	create_meeting_intelligence_tables
20251127000002	add_team_meeting_intelligence
20251127000003	create_sentiment_alerts
20251127000004	add_meeting_classification
20251127000005	fix_meetings_org_id
20251127144243	fix_security_linter_errors
20251127200000	fix_team_analytics_view_org
20251128000001	create_global_topics_tables
20251128000002	add_global_topics_functions
20251128100000	global_topics_combined
20251128200001	add_org_id_to_missing_tables
20251128200002	ensure_org_memberships
20251128200003	comprehensive_org_id_backfill
20251128200004	enhanced_org_helper_functions
20251128200005	org_id_auto_set_triggers
20251128200006	update_rls_to_org_based
20251128200007	auto_create_org_on_signup
20251128200008	fix_org_insert_policy
20251128300000	create_saas_admin_tables
20251128300001	fix_fathom_sync_state_columns
20251128400000	create_internal_domains_table
20251128500000	add_org_branding_settings
20251129000001	add_stripe_subscription_fields
20251129000002	create_meetings_waitlist
20251130000001	add_email_templates
20251130000002	add_onboarding_tracking
20251130000003	enhance_waitlist_for_access
20251202000001	add_seeded_flag_to_waitlist
20251202000002	mark_seeded_users_helper
20251202000003	add_waitlist_gamification
20251202000004	fix_waitlist_points_calculation
20251202000005	add_waitlist_display_rank
20251202120000	add_importance_to_action_items
20251202120001	add_task_auto_sync_preferences
20251202120002	fix_existing_task_links
20251202180000	create_sixty_seconds_org
20251202180001	add_meeting_references_to_coaching
20251203000001	emergency_cleanup_notifications
20251203000002	disable_overdue_task_notifications
20251203000003	add_notification_rate_limiting
20251203000004	add_rate_limiting_to_notifications
20251203000005	create_notification_monitoring_views
20251203000006	create_notification_alert_function
20251203000007	fix_signup_org_creation_rls
20251203210000	create_auth_users_from_profiles
20251204000001	create_clerk_user_mapping
20251204000002	clerk_auth_functions
20251204000003	decouple_profiles
20251204100000	create_clerk_user_mapping
20251204200000	fix_clerk_auth_complete
20251208000000	pricing_control_enhancements
20251208140000	fix_signup_trigger_complete
20251208150000	fix_onboarding_progress_trigger
20251208160000	add_internal_user_exclusions
20251208161000	internal_users_whitelist
20251208162000	find_orgs_by_domain_function
20251208163000	fix_org_rls_circular_dependency
20251208170000	slack_integration_tables
20251208171000	seed_slack_notification_prompts
20251208172000	slack_deal_rooms
20251209000001	fix_waitlist_boost_points
20251209000002	fix_waitlist_boost_points_v2
20251210000001	fix_trigger_order
20251210000002	fix_security_linter_errors
20251210000003	fix_function_search_path
20251210000004	move_extensions_to_extensions_schema
20251210000005	add_rls_policies_for_workflow_tables
20251210000007	optimize_query_performance
20251210000008	disable_unused_realtime
20251210000009	fix_rls_performance_issues
20251210000010	fix_rls_performance_issues_part2
20251211000001	add_andrew_bryce_internal_user
20251211000002	email_journeys
20251211000003	setup_encharge_cron
20251211000004	encharge_email_templates
20251211100000	launch_checklist
20251211100001	add_ses_smtp_task
20251211110000	add_free_tier_enforcement
20251211120000	add_email_logs_table
20251211130000	update_launch_checklist_progress
20251211140000	add_activation_tracking
20251211150000	fix_meetings_waitlist_rls
20251211160000	user_cohorts_and_alerts
20251212000000	update_team_pricing
20251212100000	create_app_settings_table
20251212100001	rep_coaching_scorecards
20251212100002	deal_risk_signals
20251212100003	aggregated_call_insights
20251212140000	fix_org_membership_rls_for_new_users
20251212200000	fix_rls_performance_warnings
20251212233000	fix_org_memberships_rls_recursion
20251213000000	org_call_types
20251213000001	call_type_workflow_trigger
20251213100000	enhance_call_types_for_coaching
20251213100001	link_coaching_to_call_types
20251213100002	call_type_workflow_tracking
20251213100003	pipeline_automation_rules
20251213110000	fix_auth_users_exposed_views
20251213120000	fix_function_search_paths
20251213120358	add_org_proposal_workflows
20251213130000	ensure_organization_memberships_table
20251213160000	add_sync_cron_jobs
20251213170000	add_cron_monitoring
20251213180000	fix_meetings_org_rls
20251213190000	fix_fathom_cron_config
20251213193000	fix_ai_prompt_templates_unique
20251213200000	email_categorization_and_label_mapping
20251213210000	add_sales_assistant_notification
20251213213000	fix_org_memberships_rls_recursion_regression
20251213213150	create_daily_digest_analyses
20251213220000	deal_room_auto_archive
20251213230000	fix_slack_settings_rls_for_org_admins
20251213233000	slack_meeting_debrief_dm_audience
20251213234000	create_fathom_org_integration_tables
20251213234500	drop_fathom_org_email_unique
20251213235000	migrate_fathom_user_to_org
20251213250000	add_org_currency_and_company_profile
20251213320000	create_justcall_calls_and_integrations
20251213321000	create_justcall_oauth_states
20251213322000	fix_call_index_queue_trigger_on_insert
20251213323000	adjust_calls_index_rls_for_org_visibility
20251214120000	fix_roadmap_rls_policies
20251214121000	make_meetings_unique_per_org_fathom_recording
20251214133000	fix_fathom_org_integrations_claims_cast
20251214152000	fix_fathom_org_rls_use_auth_jwt
20251214160000	add_call_action_items_and_task_links
20251214160100	fix_next_action_suggestions_user_resolution_for_calls
20251214160200	repair_corrupted_task_due_dates
20251214160300	fix_create_smart_tasks_org_scoped
20251214160400	reenable_overdue_task_notifications_with_guardrails
(352 rows)
